name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,631,4637571467,,,,,,,113.3915789,23.0741048,,,
,632,4628739202,,,,,,,113.3901162,23.0718221,,,
,633,4628739228,,,,,,,113.389151,23.0671027,,,
,634,4628739274,,,,,,,113.3899518,23.0662473,,,
,635,4632248908,,,,,,,113.3708407,23.069231,,,
,636,4625133396,,,,,,,113.3622492,23.0656044,,,
,637,4632248918,,,,,,,113.3656145,23.0609607,,,
,638,4632250789,,,,,,,113.3656204,23.0605065,,,
,639,4632248912,,,,,,,113.3659735,23.0608015,,,
,640,9037429390,,,,,,,113.3717802,23.0691168,,,
,641,9037429400,,,,,,,113.3731791,23.0691121,,,
,642,1330950420,,,,,,,113.374774,23.069101,,,
,643,4623704140,,,,,,,113.3753667,23.0691001,,,
,644,4623704142,,,,,,,113.3758438,23.069123,,,
,645,1330950421,,,,,,,113.3780037,23.07285,,,
,646,4625119368,,,,,,,113.3781286,23.0737258,,,
,647,1330950417,,,,,,,113.3780773,23.073835,,,
,648,4632248929,,,,,,,113.3756955,23.0687987,,,
,649,9037429463,,,,,,,113.3750985,23.06922,,,
,650,6277965716,,,,,,,113.3724443,23.0692873,,,
,651,4826551688,,,,,,,113.4086792,23.0753589,,,
,652,4635896459,,,,,,,113.4085916,23.0754512,,,
,653,,,,,,,,113.4117,23.0721986,,,boundary node created by osm2gmns
,654,10003377930,,,,,,,113.4100037,23.0740686,,,
,655,4635902019,,,,,,,113.4074202,23.0680759,,,
,656,4635902026,,,,,,,113.4018248,23.0693618,,,
,657,8871825118,,,,,,,113.4009462,23.0683504,,,
,658,4638056233,,,,,,,113.4008791,23.0682693,,,
,659,8871825138,,,,,,,113.40061,23.0679553,,,
,660,4638056207,,,,,,,113.4005704,23.0679118,,,
,661,2982817333,,,,,,,113.4002571,23.0675726,,,
,662,4635902070,,,,,,,113.4033614,23.0710493,,,
,663,4635902071,,,,,,,113.403293,23.0711697,,,
,664,4635902416,,,,,,,113.4080191,23.0753197,,,
,665,4635902408,,,,,,,113.4057699,23.0744194,,,
